|0|1
109|1.255,44 Lei|
110|Telefon mobil Apple iPhone 15 Pro, 128GB, 5G, Natural Titanium|
111|5.249,99 Lei|
112|Telefon mobil Honor 90, 12GB RAM, 512GB, 5G, Midnight Black|
113|1.785,60 Lei|
114|Telefon mobil Nokia C22, Dual SIM, 64GB, 2GB RAM, Charcoal|
115|379,99 Lei|
116|Telefon mobil Nokia 2660 Flip, Dual SIM, 4G, Pop Pink|
117|311,54 Lei|
118|Telefon mobil Apple iPhone 15, 256GB, 5G, Black|
119|4.649,99 Lei|
